"Filename","StartLine","Endline","CountinFile"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\FBUtilities.java","1065","1067","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\logging\LogbackLoggingSupport.java","100","102","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\logging\NoOpFallbackLoggingSupport.java","36","38","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","82","84","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","87","89","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","92","94","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","97","99","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","103","105","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","108","110","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","113","115","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","118","120","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryDarwin.java","123","125","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","83","85","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","88","90","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","93","95","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","98","100","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","103","105","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","108","110","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","113","115","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","118","120","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\utils\NativeLibraryLinux.java","123","125","9"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","69","71","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","187","189","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","198","200","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","209","211","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","220","222","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","231","233","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","242","244","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","253","255","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","265","267","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","277","279","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","289","291","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","301","303","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","313","315","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\DriverBurnTest.java","325","327","14"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\SimpleClientBurnTest.java","86","88","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\SimpleClientPerfTest.java","98","100","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\SimpleClientPerfTest.java","111","113","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\SimpleClientPerfTest.java","124","126","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\SimpleClientPerfTest.java","137","139","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\transport\SimpleClientPerfTest.java","150","152","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\utils\memory\LongBufferPoolTest.java","132","134","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\utils\memory\LongBufferPoolTest.java","405","407","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\utils\memory\LongBufferPoolTest.java","600","602","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\utils\memory\LongBufferPoolTest.java","642","644","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\burn\org\apache\cassandra\utils\memory\LongBufferPoolTest.java","674","676","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\Cluster.java","60","62","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\fuzz\FuzzTestBase.java","56","58","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\fuzz\HarryHelper.java","50","52","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\fuzz\HarryHelper.java","58","60","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\fuzz\test\SSTableGeneratorTest.java","115","115","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractEncryptionOptionsImpl.java","194","196","3"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractEncryptionOptionsImpl.java","235","237","3"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractEncryptionOptionsImpl.java","318","320","3"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractNetstatsBootstrapStreaming.java","36","38","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractNetstatsBootstrapStreaming.java","42","44","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractNetstatsStreaming.java","61","63","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AbstractNetstatsStreaming.java","507","509","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AllowAutoSnapshotTest.java","39","41","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AllowAutoSnapshotTest.java","56","58","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AllowAutoSnapshotTest.java","73","75","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AllowAutoSnapshotTest.java","89","91","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AllowAutoSnapshotTest.java","114","116","5"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\test\distributed\org\apache\cassandra\distributed\test\AlterTest.java","57","59","3"
